ID,名前,重量,人員,開発年,開発国,必要資源_鉄,必要資源_クロム,必要資源_アルミ,必要資源_タングステン,必要資源_ゴム,shell_weight_kg,initial_velocity_mps,rounds_per_minute,caliber_cm,barrel_length,barrel_count,max_elevation,turret_count
SMHG001,"28 cm/35 (11"") MRK L/35",43900,232.0,1890,GER,0,0,0,0,0,240.0,685.0,0.5,28.3,35.0,2,+25/-5,1
SMHG002,"30.5 cm/50 (12"") VSM Mark H",66000,311.0,1910,Spain,0,0,0,0,0,386.0,894.0,1.5,30.5,50.0,2,+15/-5,1
SMHG003,"12""/52",767800,,1907,FIN,0,0,0,0,0,470.9,820.0,2.25,30.5,52.0,1,25,1
SMHG004,"12""/50 (30.5 cm) Bethlehem 305 mm/50 Bethlehem Marca L Modelos 1/2",491000,,1914,ARG,0,0,0,0,0,394.6,884.0,3.0,30.5,50.0,2,20,1
SMHG005,"12""/52",767800,,1850,FIN,0,0,0,0,0,470.9,820.0,2.25,30.5,52.0,1,25,4
SMHG006,"12""/45 Elswick Pattern L",460000,,1907,BRA,0,0,0,0,0,386.0,853.0,1.5,30.5,45.0,2,17,1
SMHG007,30.5 cm/45 Škoda,432000,,1910,AUS,0,0,0,0,0,450.0,800.0,2.1,30.5,45.0,2,24,1
SMHG008,"12""/50 (30.5 cm) Bethlehem",491000,,1910,ARG,0,0,0,0,0,394.6,884.0,2.5,30.5,50.0,2,20,1
SMHG009,30.5 cm/45 Škoda 3,669000,,1910,AUS,0,0,0,0,0,450.0,800.0,2.1,30.5,45.0,3,24,1
SMHG010,"12""/52 (30.5 cm) Pattern 1907",858300,,1907,USSR,0,0,0,0,0,470.9,820.0,1.8,30.5,52.0,3,25,1
SMHG011,"32 cm/38 (12.6"") 41st Year Type",67000,293.0,1908,Japan,0,0,0,0,0,449.0,703.0,0.2,32.0,38.0,1,+10.5/-4,1
SMHG012,"32 cm/35 (12.6"") Model 1880",48200,257.0,1880,Spain,0,0,0,0,0,400.0,620.0,0.2,32.0,35.0,1,+15/-5,1
SMHG013,"32 cm/35 (12.6"") Model 1880",48200,257.0,1880,Spain,0,0,0,0,0,400.0,620.0,0.2,32.0,35.0,1,+15/-5,1
SMHG014,"40.6 cm/52 (16"") SK C/34 (Naval)",159900,645.0,1934,GER,0,0,0,0,0,1030.0,810.0,2.0,40.6,52.0,2,+30/-5.5,1
SMHG015,"28.3 cm/45 (11.1"") Model 1912",353700,1054.0,1912,SWE,0,0,0,0,0,305.0,870.0,4.0,28.3,45.0,2,+18/-5,1
SMHG016,40.6 cm SK C/34連装砲,13630,280.0,1934,GER,2,0,0,1,0,1030.0,810.0,2.0,40.6,52.0,2,48度,1
SMHG017,"12.6""/38 (32 cm) Canet",67000,305.0,1880,Japan,0,0,0,0,0,449.0,703.0,0.2,32.0,38.0,1,+10.5/-4,1
SMHG018,"40.6 cm/52 (16"") SK C/34 (Coastal Artillery)",159900,602.0,1934,GER,0,0,0,0,0,600.0,1050.0,2.0,40.6,52.0,1,+55/-5,1
SMHG019,"42 cm/48 (16.5"") SK C/40",159900,647.0,1941,GER,0,0,0,0,0,1030.0,810.0,2.0,42.0,48.0,2,+30/-5.5,1
SMHG020,"12.6""/38 (32 cm) 41st Year Type",67000,293.0,1908,Japan,0,0,0,0,0,449.0,703.0,0.2,32.0,38.0,1,+10.5/-4,1
SMHG021,32cm/38,77000,,1890,KN,0,0,0,0,0,449.0,703.0,0.2,32.0,38.0,1,14.5,1
SMHG022,"35 cm/45 (13.79"") K14 Škoda",830000,,1916,HUN,0,0,0,0,0,635.0,820.0,3.0,35.0,45.0,3,19,1
SMHG023,"30.5 cm/45 (12"") K10 Škoda",783000,,1910,HUN,0,0,0,0,0,450.0,800.0,3.0,35.0,45.0,2,24,1
SMHG024,"38.1 cm/45 (15"") Model 1926 Vickers-Armstrong 15""/45 (38.1 cm) Mark B",226000,,1929,SPR,0,0,0,0,0,885.0,762.0,2.0,38.1,45.0,2,45,1
SMHG025,38.1 cm/45,223000,,1912,SPR,0,0,0,0,0,885.0,762.0,2.0,38.1,45.0,2,45,1
SMHG026,"14""/45 Mk I/III",660000,,1910,ENG,0,0,0,0,0,719.0,762.0,2.0,35.6,45.0,2,25,1
SMHG027,50口径406mm,1800000,,1910,USSR,0,0,0,0,0,1108.0,830.0,1.75,40.6,50.0,3,25,1
