ID,名前,重量,人員,開発年,開発国,必要資源_鉄,必要資源_クロム,必要資源_アルミ,必要資源_タングステン,必要資源_ゴム,detection_range_km,output_db
SMHR001,二号電波探信儀二型,1320,6,1942,JPN,198,19,99,10,39,28.83,93.0
SMHR002,三式一号電波探信儀三型,1320,6,1944,JPN,180,18,90,9,36,26.0,96.0
SMHR003,FuMO 22,1500,8,1941,GER,225,22,112,11,45,20.0,120.0
SMHR004,FuMO 23,1500,8,1942,GER,225,22,112,11,45,20.0,120.0
SMHR005,FuMO 26,2000,10,1943,GER,300,30,150,15,60,22.5,125.0
SMHR006,FuMO 81 Berlin-S,1000,5,1944,GER,150,15,75,8,30,25.0,115.0
SMHR007,Redut-K,1000,5,1940,RUS,150,15,75,8,30,120.0,107.0
SMHR008,SK,2000,10,1944,USA,300,30,150,15,60,300.02,113.98
SMHR009,AN/SPS-6,1500,7,1948,USA,225,23,113,12,45,150.0,120.0
SMHR010,AN/SPS-6A,1500,7,1950,USA,225,23,113,12,45,130.0,120.0
SMHR011,AN/SPS-6B,1500,7,1950,USA,225,23,113,12,45,189.5,120.0
SMHR012,AN/SPS-6C,1200,6,1952,USA,180,18,90,10,36,189.5,120.0
SMHR013,AN/SPS-6D,1200,6,1953,USA,180,18,90,10,36,189.5,120.0
SMHR014,AN/SPS-6E,1200,6,1954,USA,180,18,90,10,36,189.5,121.0
SMHR015,AN/SPS-29,1500,7,1958,USA,225,23,113,12,45,500.0,113.98
SMHR016,AN/SPS-29A,1500,7,1958,USA,225,23,113,12,45,500.0,113.98
SMHR017,AN/SPS-29B,1500,7,1958,USA,225,23,113,12,45,500.0,113.98
SMHR018,AN/SPS-29C,1500,7,1958,USA,225,23,113,12,45,500.0,113.98
SMHR019,AN/SPS-29D,1500,7,1958,USA,225,23,113,12,45,500.0,113.98
SMHR020,AN/SPS-29E,1500,7,1958,USA,225,23,113,12,45,500.0,113.98
SMHR021,AN/SPS-39,2500,9,1960,USA,375,38,188,19,75,296.0,130.0
SMHR022,一号四型電波探信儀,30000,25,1945,JPN,4500,450,2250,225,900,500.0,110.0
SMHR023,六号一型電波探信儀,1500,7,1945,JPN,225,22,112,12,45,200.0,100.0
SMHR024,六号二型電波探信儀,1500,7,1945,JPN,225,22,112,12,45,200.0,100.0
SMHR025,EL/M-2238 STAR (Small),2000,8,2000,ISR,300,30,150,16,60,200.0,113.0
SMHR026,EL/M-2238 STAR (Medium),2140,9,2000,ISR,321,32,160,17,64,250.0,113.0
SMHR027,EL/M-2238 STAR (Large),3500,12,2000,ISR,525,52,262,28,105,350.0,115.0
SMHR028,EL/M-2258 ALPHA,1800,8,2000,ISR,270,27,135,14,54,400.0,116.0
SMHR029,EL/M-2248 MF-STAR (Corvette),1800,8,2000,ISR,270,27,135,14,54,250.0,130.0
SMHR030,EL/M-2248 MF-STAR (Frigate),6000,10,2000,ISR,900,90,450,48,180,450.0,135.0
SMHR031,Revathi,2000,8,2010,IND,300,30,150,16,60,185.0,115.0
SMHR032,EMPAR,2500,9,2006,ITA,375,38,188,19,75,480.0,135.0
SMHR033,Selex RAN-40L,4000,10,2005,ITA,600,60,300,32,120,400.0,130.0
SMHR034,OPS-11,2000,8,1966,JPN,300,30,150,16,60,400.0,125.0
SMHR035,OPS-11B,2100,8,1967,JPN,315,31,157,17,63,400.0,128.0
SMHR036,OPS-11C,2000,8,1968,JPN,300,30,150,16,60,400.0,128.0
SMHR037,AN/SPS-52,2500,9,1960,USA,375,38,188,20,75,454.0,130.0
SMHR038,FAR-2xx8,500,2,2017,JPN,75,7,37,4,15,222.2,104.0
SMHR039,FAR-3000,500,2,2012,JPN,75,7,37,4,15,222.2,105.0
SMHR040,AN/SPS-8,1500,7,1952,USA,225,22,112,12,45,111.0,128.0
SMHR041,AN/SPS-8A,1500,7,1955,USA,225,22,112,12,45,133.0,130.0
SMHR042,AN/SPS-8B,1500,7,1959,USA,225,22,112,12,45,133.0,130.0
SMHR043,AN/SPS-10,1000,5,1959,USA,150,15,75,8,30,50.0,124.0
SMHR044,AN/SPS-17,2000,8,1957,USA,300,30,150,16,60,370.0,131.0
SMHR045,AN/SPS-17A,2500,9,1957,USA,375,38,188,19,75,370.0,131.0
SMHR046,AN/SPS-32 (SCANFAR),10000,15,1960,USA,1500,150,750,75,300,740.0,131.0
SMHR047,AN/SPS-33 (SCANFAR),5000,8,1960,USA,750,75,375,38,150,740.0,131.0
SMHR048,AN/SPS-40,1500,7,1961,USA,225,22,112,12,45,463.0,124.0
SMHR049,AN/SPS-40A,1500,7,1968,USA,225,22,112,12,45,463.0,124.0
SMHR050,AN/SPS-40B,1500,7,1970,USA,225,22,112,12,45,463.0,124.0
SMHR051,AN/SPS-40C,1500,7,1970,USA,225,22,112,12,45,463.0,124.0
SMHR052,AN/SPS-40D,1500,7,1970,USA,225,22,112,12,45,463.0,124.0
SMHR053,AN/SPS-40E,1500,7,1975,USA,225,22,112,12,45,463.0,124.0
SMHR054,AN/SPS-43,2000,8,1961,USA,300,30,150,16,60,500.0,121.0
SMHR055,AN/SPS-49,2000,8,1975,USA,300,30,150,16,60,474.0,125.0
SMHR056,OPS-14,1000,5,1971,JPN,150,15,75,8,30,200.0,125.0
SMHR057,OPS-14B,1000,5,1973,JPN,150,15,75,8,30,200.0,125.0
SMHR058,OPS-14C,1000,5,1975,JPN,150,15,75,8,30,200.0,125.0
SMHR059,Type 273,1500,7,1941,ENG,225,22,112,12,45,32.4,107.0
SMHR060,Type 273S,1500,7,1942,ENG,225,22,112,12,45,84.0,110.0
SMHR061,Type 273M,1500,7,1942,ENG,225,22,112,12,45,84.0,110.0
SMHR062,Type 273Q,1500,7,1943,ENG,225,22,112,12,45,41.6,127.0
SMHR063,Type 277,2000,8,1943,ENG,300,30,150,16,60,55.55,127.0
SMHR064,Type 276,2000,8,1944,ENG,300,30,150,16,60,100.0,127.0
SMHR065,Type 293,1000,5,1941,ENG,150,15,75,8,30,64.8,120.0
SMHR066,Type 279,1000,5,1940,ENG,150,15,75,8,30,92.6,118.0
SMHR067,Type 279M,1000,5,1941,ENG,150,15,75,8,30,92.6,118.0
SMHR068,Type 281,1500,7,1940,ENG,225,22,112,12,45,213.0,125.0
SMHR069,Type 281B,1500,7,1940,ENG,225,22,112,12,45,213.0,125.0
SMHR070,Type 281BP,1500,7,1940,ENG,225,22,112,12,45,222.0,125.0
SMHR071,Type 281BQ,1500,7,1940,ENG,225,22,112,12,45,222.0,125.0
