ID,名前,重量,人員,開発年,開発国,必要資源_鉄,必要資源_クロム,必要資源_アルミ,必要資源_タングステン,必要資源_ゴム,shell_weight_g,initial_velocity_mps,rounds_per_minute,caliber_mm,barrel_length,barrel_count,max_elevation,turret_count,shell_weight_kg,caliber_cm
SMLG001,"75 mm/50 (2.9"") Pattern 1892 (AA Pattern 1928 Mount)",,32,1928.0,RUS,0,0,0,0,0,5730.0,747.0,15.0,7.5,50.0,1,+75/-?,1,,
SMLG002,"75 mm/50 (2.9"") Pattern 1892 (AA Pattern 1928 Mount)",,32,1928.0,RUS,0,0,0,0,0,5730.0,747.0,15.0,7.5,50.0,1,+75/-?,1,,
SMLG003,"7.5 cm/60 (2.95"") Model 1928 (Twin Mount)",8500.0,57,1928.0,SWE,0,0,0,0,0,6500.0,850.0,15.0,7.5,60.0,2,+85/-5,1,,
SMLG004,"12 cm/45 (4.7"") Mark F",3000.0,66,1933.0,Spain,0,0,0,0,0,22000.0,853.0,15.0,12.0,45.0,1,+80/-5,1,,
SMLG005,"12.8 cm/61 (5"") KM 40 (Navalized Flakzwilling 40)",4800.0,75,1940.0,GER,0,0,0,0,0,26000.0,900.0,15.0,12.8,61.0,2,+80/-10,1,,
SMLG006,"75 mm/50 (2.9"") Pattern 1892 (AA Pattern 1914 Mount)",,38,1914.0,RUS,0,0,0,0,0,5730.0,747.0,15.0,7.5,50.0,1,+50/-?,1,,
SMLG007,"7.5 cm/60 (2.95"") Model 1928 (Single Mount)",3400.0,44,1928.0,SWE,0,0,0,0,0,6500.0,850.0,15.0,7.5,60.0,1,+85/-5,1,,
SMLG008,"105 mm/50 (4.1"") Model 1932",22100.0,108,1930.0,FIN,0,0,0,0,0,16000.0,800.0,15.0,10.5,50.0,2,+85/-10,1,,
SMLG009,"75 mm/50 (2.9"") Pattern 1892 (AA Pattern 1914 Mount)",,38,1914.0,RUS,0,0,0,0,0,5730.0,747.0,15.0,7.5,50.0,1,+50/-?,1,,
SMLG010,10.5 cm/40 Model 1940,,47,1935.0,SWE,0,0,0,0,0,16000.0,700.0,15.0,10.5,40.0,1,+80/-5,1,,
SMLG011,"8 cm/40 (3"") 3rd Year Type",600.0,44,1914.0,JPN,0,0,0,0,0,9250.0,685.0,20.0,7.62,40.0,1,+75/-7,1,,
SMLG012,"8 cm/60 (3"") Type 98",12500.0,67,1938.0,JPN,0,0,0,0,0,5990.0,900.0,25.0,7.62,60.0,2,+90/-10,1,,
SMLG013,"3""/40 (7.62 cm) 3rd Year Type",600.0,44,1914.0,JPN,0,0,0,0,0,9250.0,685.0,20.0,7.62,40.0,1,+75/-7,1,,
SMLG014,"8 cm/40 (3"") Type 88",600.0,39,1928.0,JPN,0,0,0,0,0,9250.0,685.0,20.0,7.62,40.0,1,+75/-7,1,,
SMLG015,"8 cm/40 (3"") 11th Year Type",600.0,41,1922.0,JPN,0,0,0,0,0,9250.0,685.0,20.0,7.62,40.0,1,+75/-7,1,,
SMLG016,"75 mm/50 (2.9"") Pattern 1892 (OSZ mod 1916 AA Mount)",2000.0,42,1916.0,RUS,0,0,0,0,0,5730.0,747.0,15.0,7.5,50.0,1,+70/-?,1,,
SMLG017,"75 mm/50 (2.9"") Pattern 1892 (OSZ mod 1916 AA Mount)",2000.0,42,1916.0,RUS,0,0,0,0,0,5730.0,747.0,15.0,7.5,50.0,1,+70/-?,1,,
SMLG018,"75 mm/50 (2.9"") Pattern 1892 (AA Pattern 1926 Mount)",,33,1926.0,RUS,0,0,0,0,0,5730.0,747.0,15.0,7.5,50.0,1,+75/-?,1,,
SMLG019,"75 mm/50 (2.9"") Pattern 1892 (AA Pattern 1926 Mount)",,33,1926.0,RUS,0,0,0,0,0,5730.0,747.0,15.0,7.5,50.0,1,+75/-?,1,,
SMLG020,"8.8 cm/45 (3.46"") SK C/30 (SKC/30U)",1230.0,42,1930.0,GER,1,0,0,0,0,,790.0,15.0,,45.0,1,+70/-10,1,9.0,8.8
SMLG021,"10.5 cm/65 (4.1"") SK C/33 (Dop. L. C/38)",44000.0,160,1933.0,GER,1,0,0,0,0,,900.0,16.0,,65.0,2,+80/-10,1,15.1,10.5
SMLG022,"12-pdr [3""/45 (76.2 cm)] 20cwt QF HA Marks I, II, III and IV (CPV Mount)",2862.0,46,1910.0,GBR,1,0,0,0,0,,617.0,12.0,,45.0,1,+40/-10,1,7.26,7.62
SMLG023,"4.7""/45 (12 cm) BL Mark II (Single open mount)",3188.0,53,1940.0,ENG,0,0,0,0,0,,814.0,5.0,,45.0,1,+30/-9.5,1,22.68,12.0
SMLG024,"12-pdr [3""/40 (7.62 cm)] 12cwt QF Marks I, II and V (HA VIII and HA VIII* Mount)",2134.0,54,1893.0,GBR,1,0,0,0,0,,681.0,15.0,,40.0,1,+90/-10,1,5.87,7.62
SMLG025,"4.5""/45 (11.4 cm) QF Mark I, III and IV (RP10 Mark IV Twin Mount)",46310.0,174,1935.0,GBR,1,0,0,0,0,,716.0,15.0,,45.0,2,+80/-5,1,24.95,11.4
SMLG026,"8.8 cm/76 (3.46"") SK C/32 (Dop. L. C/32)",23650.0,100,1932.0,GER,1,0,0,0,0,,950.0,18.0,,76.0,2,+80/-10,1,9.0,8.8
SMLG027,"5""/38 (12.7 cm) Mark 12 (Single Enclosed Base Ring Mark 30 Mods 61, 69, 71, 75 and 77 (Bow Mount))",18552.0,118,1932.0,USA,1,0,0,0,0,,792.0,20.0,,38.0,1,+85/-15,1,25.0,12.7
SMLG028,"4.7""/40 (12 cm) QF Mark I (PIV* Single Mount)",8100.0,86,1885.0,ENG,0,0,0,0,0,,675.0,5.0,,40.0,1,+20/-3,1,20.4,12.0
SMLG029,"4""/25 (10.2 cm) Mark I (VBI Mount)",1143.0,60,1890.0,GBR,1,0,0,0,0,,546.0,10.0,,25.0,1,+18.5/-28,1,11.3,10.2
SMLG030,"4""/45 (10.2 cm) QF Mark XXI (Single HA/LA Mark XXIV)",8636.0,71,1934.0,GBR,1,0,0,0,0,,811.0,18.0,,45.0,1,+80/-10,1,15.88,10.2
SMLG031,"4""/45 (10.2 cm) QF Mark XVI (RP 50 Mark XIX conversion)",16816.0,92,1934.0,GBR,1,0,0,0,0,,811.0,18.0,,45.0,2,+80/-10,1,15.88,10.2
SMLG032,"4""/45 (10.2 cm) QF Mark XV (HA/LA BD Mark XVII Mount)",2206.0,51,1930.0,GBR,1,0,0,0,0,,728.0,9.0,,45.0,2,+85/-5,1,14.06,10.2
SMLG033,"75 mm/50 (2.9"") Pattern 1892 (Casemate Mount mod 1906)",4423.0,58,1891.0,RUS,0,0,0,0,0,,823.0,15.0,,50.0,1,+25/-15,1,4.9,7.5
SMLG034,"4""/28 (10.2 cm) QFC Marks I/IIIA, I/IV, I/V and I/VI (VBIIC or VCPIC Mount)",1321.0,58,1895.0,GBR,1,0,0,0,0,,668.0,9.0,,28.0,1,+20/-10,1,11.3,10.2
SMLG035,"76.2 mm/40 (3"") Ansaldo 1917",510.0,48,1893.0,ITA,1,0,0,0,0,,690.0,15.0,,40.0,1,+75/-10,1,6.0,7.62
SMLG036,"5""/70 (12.7 cm) QF Mark N1 (Twin Mount)",115000.0,435,1948.0,ENG,0,0,0,0,0,,1036.0,66.0,,70.0,2,+90/-0,1,31.8,12.7
SMLG037,"8.8 cm/30 (3.46"") Ubts L/30",1640.0,58,1890.0,GER,1,0,0,0,0,,590.0,15.0,,30.0,1,+30/-10,1,9.8,8.8
SMLG038,"4.5""/45 (11.4 cm) QF Mark I, III and IV (Mark II BD Twin Mount)",38560.0,151,1935.0,GBR,1,0,0,0,0,,716.0,12.0,,45.0,2,+80/-5,1,24.95,11.4
SMLG039,"10.5 cm/40 (4.1"") SK L/40 (MPL C/04)",1555.0,67,1898.0,GER,1,0,0,0,0,,690.0,15.0,,40.0,1,+30/-6,1,17.4,10.5
SMLG040,"75 mm/50 (2.9"") Pattern 1892 (Meller Single Mount)",1720.0,51,1891.0,RUS,0,0,0,0,0,,823.0,15.0,,50.0,1,+20/-15,1,4.9,7.5
SMLG041,"5""/38 (12.7 cm) Mark 12 (Twin Enclosed Base Ring Mark 22)",34133.0,156,1932.0,USA,1,0,0,0,0,,792.0,20.0,,38.0,2,+35/-10,1,25.0,12.7
SMLG042,"4""/45 (10.2 cm) QF Mark V (PX Mark I Mount)",3100.0,60,1913.0,GBR,1,0,0,0,0,,805.0,12.0,,45.0,1,+20/-10,1,14.06,10.2
SMLG043,"4.7""/45 (12 cm) QF Mark XII (CPXIX Twin Mount)",25500.0,120,1928.0,ENG,0,0,0,0,0,,808.0,10.0,,45.0,2,+40/-10,1,22.68,12.0
SMLG044,"75 mm/50 (2.9"") Pattern 1892 (Canet Single Mount)",910.0,49,1891.0,RUS,0,0,0,0,0,,823.0,15.0,,50.0,1,+20/-15,1,4.9,7.5
SMLG045,"8.8 cm/45 (3.46"") Flak L/45 (MPL C/13)",2500.0,55,1905.0,GER,1,0,0,0,0,,840.0,15.0,,45.0,1,+70/-10,1,9.0,8.8
SMLG046,"4.7""/40 (12 cm) QF Mark I (BDI Single Mount)",8100.0,86,1885.0,ENG,0,0,0,0,0,,675.0,5.0,,40.0,1,+15/-3,1,20.4,12.0
SMLG047,"8.8 cm/45 (3.46"") SK L/45 (MPL C/01-06)",2500.0,56,1905.0,GER,1,0,0,0,0,,790.0,15.0,,45.0,1,+25/-10,1,10.0,8.8
SMLG048,"5""/38 (12.7 cm) Mark 12 (Single Open Base Ring Mark 30 Mod 80)",15740.0,109,1932.0,USA,1,0,0,0,0,,792.0,20.0,,38.0,1,+27/-15,1,25.0,12.7
SMLG049,"4""/45 (10.2 cm) QF Mark V (LA CP Mark II Mount)",5400.0,65,1913.0,GBR,1,0,0,0,0,,805.0,12.0,,45.0,1,+30/-10,1,14.06,10.2
SMLG050,"75 mm/50 (2.9"") Pattern 1892 (Pattern 1906 Single Mount)",4420.0,58,1891.0,RUS,0,0,0,0,0,,823.0,15.0,,50.0,1,+20/-15,1,4.9,7.5
SMLG051,"4.5""/45 (11.4 cm) QF Mark I, III and IV (Mark III UD Twin Mount)",30215.0,130,1935.0,GBR,1,0,0,0,0,,716.0,12.0,,45.0,2,+80/-5,1,24.95,11.4
SMLG052,"4""/40 (10.2 cm) QF Mark VII",1300.0,53,1914.0,GBR,1,0,0,0,0,,686.0,10.0,,40.0,1,+20/-10,1,14.1,10.2
SMLG053,"5""/70 (12.7 cm) QF Mark N1 (Single Mount)",78000.0,341,1948.0,ENG,0,0,0,0,0,,1036.0,66.0,,70.0,1,+90/-0,1,31.8,12.7
SMLG054,"8.8 cm/30 (3.46"") SK L/30 (MPL C/89)",644.0,56,1890.0,GER,1,0,0,0,0,,590.0,15.0,,30.0,1,+20/-10,1,9.8,8.8
SMLG055,"76.2 mm/40 (3"") Ansaldo 1916 (RM1916)",510.0,48,1893.0,ITA,1,0,0,0,0,,680.0,15.0,,40.0,1,+65/-10,1,6.5,7.62
SMLG056,"8.8 cm/78 (3.46"") SK C/31 (Dopp LC/31)",27300.0,109,1931.0,GER,1,0,0,0,0,,825.0,18.0,,78.0,2,+80/-10,1,9.0,8.8
SMLG057,Mk 7 5インチ砲,5000.0,77,1910.0,USA,1,0,0,0,0,,960.0,8.0,,51.0,1,20,1,25.03,12.7
SMLG058,"75 mm/50 (2.9"") Pattern 1892 (Canet Single Mount)",910.0,49,1891.0,RUS,0,0,0,0,0,,823.0,15.0,,50.0,1,+20/-15,1,4.9,7.5
SMLG059,"10.5 cm/55 (4.1"") SK C/28",3660.0,59,1928.0,GER,1,0,0,0,0,,925.0,15.0,,55.0,1,+30/-10,1,14.7,10.5
SMLG060,"4""/45 (10.2 cm) QF Mark XV (HA/LA BD Mark XVIII Mount)",2206.0,51,1930.0,GBR,1,0,0,0,0,,728.0,9.0,,45.0,2,+85/-5,1,14.06,10.2
SMLG061,"4""/45 (10.2 cm) QF Mark XVI (Single HA/LA Mark XX)",10008.0,74,1934.0,GBR,1,0,0,0,0,,811.0,18.0,,45.0,1,+80/-10,1,15.88,10.2
SMLG062,"4.7""/40 (12 cm) QF Mark I (PIV Single Mount)",8100.0,86,1885.0,ENG,0,0,0,0,0,,675.0,5.0,,40.0,1,+20/-3,1,20.4,12.0
SMLG063,"4""/15 (10.2 cm) 13cwt Mark I (VBII Mount)",660.0,58,1890.0,GBR,1,0,0,0,0,,360.0,10.0,,15.0,1,+20/-30,1,11.3,10.2
SMLG064,"8.8 cm/76 (3.46"") SK C/32 (Dop. L. C/37)",23650.0,100,1932.0,GER,1,0,0,0,0,,950.0,18.0,,76.0,2,+80/-10,1,9.0,8.8
SMLG065,"5""/38 (12.7 cm) Mark 12 (Single Enclosed Base Ring Mark 30 Mods 0, 4 and 5)",18552.0,118,1932.0,USA,1,0,0,0,0,,792.0,20.0,,38.0,1,+85/-15,1,25.0,12.7
SMLG066,"12-pdr [3""/40 (7.62 cm)] 12cwt QF Marks I, II and V (PI and PI* Mount)",1253.0,49,1893.0,GBR,1,0,0,0,0,,681.0,15.0,,40.0,1,+30/-10,1,5.87,7.62
SMLG067,"4.5""/45 (11.4 cm) QF Mark I, III and IV (RP10 Mark IV* Twin Mount)",46310.0,174,1935.0,GBR,1,0,0,0,0,,716.0,15.0,,45.0,2,+80/-5,1,24.95,11.4
SMLG068,"12-pdr [3""/45 (76.2 cm)] 20cwt QF HA Marks I, II, III and IV (HA Mounts)",2862.0,48,1910.0,GBR,1,0,0,0,0,,617.0,12.0,,45.0,1,+90/-10,1,7.26,7.62
SMLG069,"4.7""/45 (12 cm) BL Mark I (Single open mount)",3175.0,61,1918.0,ENG,0,0,0,0,0,,814.0,5.0,,45.0,1,+30/-9.5,1,22.68,12.0
SMLG070,"8.8 cm/45 (3.46"") SK C/30 (Ubts L C/35)",1230.0,42,1930.0,GER,1,0,0,0,0,,790.0,15.0,,45.0,1,+70/-10,1,9.0,8.8
SMLG071,"10.5 cm/65 (4.1"") SK C/33 (Dop. L. C/37)",26425.0,116,1933.0,GER,1,0,0,0,0,,900.0,16.0,,65.0,2,+80/-10,1,15.1,10.5
SMLG072,"3""/50 (7.62 cm) Mark 21 (Wet Mount Mark 21)",3100.0,35,1944.0,USA,1,0,0,0,0,,823.0,18.0,,50.0,1,+40/-15,1,5.9,7.62
SMLG073,"4""/40 (10.2 cm) QF Mark IV (PIX Mount)",3100.0,63,1904.0,GBR,1,0,0,0,0,,664.0,13.0,,40.0,1,+20/-10,1,14.1,10.2
SMLG074,"5""/70 (12.7 cm) Type F",4237.0,72,1945.0,USA,0,0,0,0,0,,1036.0,12.0,,70.0,1,+90/-0,1,31.8,12.7
SMLG075,"3""/70 (7.62 cm) Mark 6",37716.0,149,1950.0,GBR,1,0,0,0,0,,1036.0,90.0,,70.0,2,+90/-15,1,6.8,7.62
SMLG076,"4.7""/43 (12 cm) QF Mark VII",3429.0,67,1918.0,ENG,0,0,0,0,0,,749.0,8.0,,43.0,1,+90/-5,1,22.68,12.0
SMLG077,"4.5""/45 (11.4 cm) QF Mark I, III and IV (Mark V Single Mount)",11290.0,84,1935.0,GBR,1,0,0,0,0,,716.0,14.0,,45.0,1,+55/-5,1,24.95,11.4
SMLG078,"4""/50 (10.2 cm) QF Marks VIII",2126.0,56,1914.0,GBR,1,0,0,0,0,,890.0,10.0,,50.0,1,+20/-10,1,14.1,10.2
SMLG079,"5""/38 (12.7 cm) Mark 12 (Twin Enclosed Base Ring Mark 32 Mod 4)",54598.0,209,1932.0,USA,1,0,0,0,0,,792.0,20.0,,38.0,2,+85/-15,1,25.0,12.7
SMLG080,"10 cm (3.9"") SK/L 40(N) (10 cm MPL (N))",1000.0,49,1934.0,GER,1,0,0,0,0,,775.0,13.0,,40.0,1,+30/-5,1,19.5,10.0
SMLG081,"4.7""/45 (12 cm) QF Mark IX (CPXIV Single Mount)",8790.0,74,1928.0,ENG,0,0,0,0,0,,808.0,7.0,,45.0,1,+30/-10,1,22.68,12.0
SMLG082,"4""/50 (10.2 cm) BL Mark VII (HA Mark II Mount)",2126.0,57,1904.0,GBR,1,0,0,0,0,,732.0,7.0,,50.0,1,+60/-10,1,14.06,10.2
SMLG083,"4""/45 (10.2 cm) BL Mark IX (Single Mount CPI)",4797.0,63,1913.0,GBR,1,0,0,0,0,,800.0,11.0,,45.0,1,+30/-10,1,14.1,10.2
SMLG084,"12 cm/45 (4.7"") Wilton-Fijenoord Mark 8 (Twin Mount)",21805.0,106,1937.0,NLD,1,0,0,0,0,,800.0,10.0,,45.0,2,+45/-10,1,20.5,12.0
SMLG085,"3""/50 (7.62 cm) Mark 20 (Dry Mount Mark 20)",3100.0,49,1914.0,USA,1,0,0,0,0,,823.0,18.0,,50.0,1,+85/-15,1,5.9,7.62
SMLG086,"4.5""/45 (11.4 cm) QF Mark V (RP 41 Mark VII Twin Mount)",0.0,51,1944.0,ENG,0,0,0,0,0,,716.0,12.0,,45.0,2,+80/-15,1,25.0,11.4
SMLG087,"3""/50 (7.62 cm) Mark 11 (AA Mount)",4300.0,59,1898.0,USA,1,0,0,0,0,,823.0,18.0,,50.0,1,+85/-10,1,5.9,7.62
SMLG088,"12.7 cm/45 (5"") SK C/34 (MPLC/28 Single Mount)",3645.0,76,1930.0,GER,0,0,0,0,0,,830.0,15.0,,45.0,1,+30/-10,1,28.0,12.7
SMLG089,"4""/40 (10.2 cm) QF Marks I, II and III (PI Mount)",1339.0,60,1894.0,GBR,1,0,0,0,0,,701.0,9.0,,40.0,1,+20/-10,1,14.1,10.2
SMLG090,"5""/38 (12.7 cm) Mark 12 (Single Pedestal Mark 21 Mod 16)",13272.0,99,1932.0,USA,1,0,0,0,0,,792.0,15.0,,38.0,1,+85/-15,1,25.0,12.7
SMLG091,"4.7""/40 (12 cm) QF Mark I (PVIII Single Mount)",8100.0,86,1885.0,ENG,0,0,0,0,0,,675.0,5.0,,40.0,1,+20/-3,1,20.4,12.0
SMLG092,"10.5 cm/65 (4.1"") SK C/33 (Dop. L. C/31)",27805.0,120,1933.0,GER,1,0,0,0,0,,900.0,16.0,,65.0,2,+80/-8,1,15.1,10.5
SMLG093,"4""/45 (10.2 cm) QF Vickers Armstrong Mark N",2126.0,49,1930.0,BRA,1,0,0,0,0,,853.0,10.0,,45.0,1,+20/-10,1,14.06,10.2
SMLG094,"10.5 cm/45 (4.1"") Ubts L/45 (Ubts LC/16)",1450.0,64,1906.0,GER,1,0,0,0,0,,710.0,15.0,,45.0,1,+50/-10,1,17.5,10.5
SMLG095,"75 mm/50 (2.9"") Pattern 1892 (Pattern 1906 Single Mount)",4420.0,58,1891.0,RUS,0,0,0,0,0,,823.0,15.0,,50.0,1,+20/-15,1,4.9,7.5
SMLG096,"8.8 cm/45 (3.46"") Tbts K L/45 (Tbts LC/13)",752.0,46,1913.0,GER,1,0,0,0,0,,650.0,12.0,,45.0,1,+25/-10,1,9.75,8.8
SMLG097,"114 mm/55 (4.5"") Mark 8 Mod 1",27200.0,104,1995.0,ENG,0,0,0,0,0,,869.0,20.0,,55.0,1,+55/-10,1,20.9,11.4
SMLG098,"4""/40 (10.2 cm) BL Mark XI (Submarine SI Mount)",1317.0,55,1904.0,GBR,1,0,0,0,0,,697.0,7.0,,40.0,1,+20/-10,1,14.06,10.2
SMLG099,"4.5""/55 (11.4 cm) Mark 8 Mod 0",2420.0,54,1965.0,ENG,0,0,0,0,0,,869.0,20.0,,55.0,1,+55/-10,1,20.9,11.4
SMLG100,"75 mm/50 (2.9"") Pattern 1892 (Pattern 1908 Single Mount)",4000.0,57,1891.0,RUS,0,0,0,0,0,,823.0,15.0,,50.0,1,+25/-15,1,4.9,7.5
SMLG101,"10.5 cm/45 (4.1"") Tbts L/45 (Tbts LC/16)",1450.0,64,1906.0,GER,1,0,0,0,0,,710.0,15.0,,45.0,1,+50/-10,1,17.5,10.5
SMLG102,"10.5 cm/45 (4.1"") SK C/32 (MPLC/30)",6910.0,65,1932.0,GER,1,0,0,0,0,,785.0,15.0,,45.0,1,+80/-9,1,15.1,10.5
SMLG103,"4""/45 (10.2 cm) QF Mark XVI (Twin HA/LA Mark XIX)",16816.0,92,1934.0,GBR,1,0,0,0,0,,811.0,18.0,,45.0,2,+80/-10,1,15.88,10.2
SMLG104,"4.7""/40 (12 cm) QF Mark I (PVII Single Mount)",8100.0,86,1885.0,ENG,0,0,0,0,0,,675.0,5.0,,40.0,1,+20/-3,1,20.4,12.0
SMLG105,"4""/40 (10.2 cm) QF Marks I, II and III (PI* Mount)",1339.0,60,1894.0,GBR,1,0,0,0,0,,701.0,9.0,,40.0,1,+20/-10,1,14.1,10.2
SMLG106,"5""/38 (12.7 cm) Mark 12 (Single Pedestal Mark 21)",13272.0,99,1932.0,USA,1,0,0,0,0,,792.0,15.0,,38.0,1,+85/-15,1,25.0,12.7
SMLG107,"3""/50 (7.62 cm) Marks 2, 3, 5, 6 and 8 (Pedestal Mount)",3000.0,53,1898.0,USA,1,0,0,0,0,,823.0,18.0,,50.0,1,+15/-10,1,5.9,7.62
SMLG108,"12.7 cm/45 (5"") SK C/34 (Drh LC/38 Twin Mount)",42200.0,173,1930.0,GER,0,0,0,0,0,,830.0,15.0,,45.0,2,+40/-10,1,28.0,12.7
SMLG109,"3""/50 (7.62 cm) Mark 10 (Dry Mount Mark 11)",3100.0,49,1914.0,USA,1,0,0,0,0,,823.0,18.0,,50.0,1,+85/-15,1,5.9,7.62
SMLG110,"4.5""/19 (11.4 cm) 8cwt QF Mark I (Mark I Single Mount)",1766.0,43,1944.0,ENG,0,0,0,0,0,,457.0,10.0,,19.0,1,+12/-10,1,10.0,11.4
SMLG111,"8.8 cm/45 (3.46"") SK C/30 (Biaxial MPLC/30)",5760.0,53,1930.0,GER,1,0,0,0,0,,790.0,15.0,,45.0,1,+70/-10,1,9.0,8.8
SMLG112,"12 cm/45 (4.7"") Wilton-Fijenoord Mark 7 (Willem van der Zaan)",9250.0,74,1937.0,NLD,1,0,0,0,0,,800.0,10.0,,45.0,1,+55/-10,1,20.5,12.0
SMLG113,"4.7""/45 (12 cm) QF Mark IX (CPXIV Single Mount - Sloop version)",8260.0,72,1928.0,ENG,0,0,0,0,0,,808.0,7.0,,45.0,1,+30/-10,1,22.68,12.0
SMLG114,"4""/50 (10.2 cm) BL Mark VII (PII, PII*, PIV*, PIV**, PVI and PVIII Mount)",2126.0,58,1904.0,GBR,1,0,0,0,0,,873.0,7.0,,50.0,1,+15/-10,1,14.06,10.2
SMLG115,"5""/38 (12.7 cm) Mark 12 (Twin Enclosed Base Ring Mark 32 Mod 2)",53524.0,206,1932.0,USA,1,0,0,0,0,,792.0,20.0,,38.0,2,+85/-15,1,25.0,12.7
SMLG116,"10.5 cm/35 (4.1"") SK L/35",1270.0,62,1891.0,GER,1,0,0,0,0,,600.0,7.5,,35.0,1,+30.3/-10,1,17.4,10.5
SMLG117,"5""/38 (12.7 cm) Mark 12 (Single Enclosed Mark 30)",18552.0,118,1932.0,USA,1,0,0,0,0,,792.0,20.0,,38.0,1,+85/-15,1,25.0,12.7
SMLG118,"4""/50 (10.2 cm) QF Mark IX",2126.0,56,1914.0,GBR,1,0,0,0,0,,823.0,10.0,,50.0,1,+60/-10,1,14.1,10.2
SMLG119,"5""/54 (12.7 cm) Mark 65",0.0,108,1960.0,USA,0,0,0,0,0,,0.0,48.0,,54.0,1,+90/-0,1,31.8,12.7
SMLG120,"3""/50 (7.62 cm) Mark 22 (Twin Mount Mark 33)",14696.0,75,1945.0,USA,1,0,0,0,0,,823.0,45.0,,50.0,2,+85/-15,1,5.9,7.62
SMLG121,"4.7""/45 (12 cm) QF Mark V* (Single Pedestal Mount)",2693.0,64,1915.0,ENG,0,0,0,0,0,,710.0,8.0,,45.0,1,+20/-10,1,22.7,12.0
SMLG122,"4""/40 (10.2 cm) QF Mark IV (CPIII Mount)",4100.0,66,1904.0,GBR,1,0,0,0,0,,664.0,13.0,,40.0,1,+30/-10,1,14.1,10.2
