ID,名前,重量,人員,開発年,開発国,必要資源_鉄,必要資源_クロム,必要資源_アルミ,必要資源_タングステン,必要資源_ゴム,detection_range_km,output_db
SMLR001,二式一号電波探信儀一型,8700,12,1943,JPN,870,87,435,44,174,190.0,109.0
SMLR002,二式一号電波探信儀二型,6000,10,1944,JPN,600,60,300,30,120,75.0,100.0
SMLR003,四式一号電波探信儀,30000,25,1945,JPN,3000,300,1500,150,600,305.0,113.0
SMLR004,H-6型電波探信儀,110,2,1942,JPN,15,2,8,1,3,85.0,98.0
SMLR005,FM-1型電波探信儀,70,1,1944,JPN,10,1,5,1,2,85.0,109.0
SMLR006,N-6型電波探信儀,60,1,1944,JPN,9,1,4,1,2,60.0,96.0
SMLR007,FM-3型電波探信儀,60,1,1945,JPN,9,1,4,1,2,60.0,96.0
SMLR008,Type 79Y,500,2,1938,ENG,75,7,37,3,15,98.0,102.0
SMLR009,Type 271,300,1,1941,ENG,45,4,22,2,9,20.4,107.0
SMLR010,Type 272,600,3,1941,ENG,90,9,45,4,18,32.4,107.0
SMLR011,Type 280,1000,5,1940,ENG,150,15,75,7,30,50.0,114.0
SMLR012,Type 286,400,2,1941,ENG,60,6,30,3,12,37.0,120.0
SMLR013,Type 291,500,2,1941,ENG,75,7,37,3,15,64.82,120.0
SMLR014,FuMO 21,500,2,1940,GER,75,7,37,3,15,16.0,100.0
SMLR015,FuMO 24/25,700,3,1941,GER,105,10,52,5,21,17.5,100.0
SMLR016,FuMO 30,100,1,1942,GER,15,1,7,1,3,7.0,90.0
SMLR017,FuMO 61 Hohentwiel-U,150,1,1943,GER,22,2,11,1,4,9.0,95.0
SMLR018,FuMO 63 Hohentwiel-K,200,1,1944,GER,30,3,15,2,6,16.0,98.0
SMLR019,Gyuis,400,2,1944,ロシア,60,6,30,3,12,46.3,109.0
SMLR020,Gyuis-1,400,2,1944,ロシア,60,6,30,3,12,46.3,109.0
SMLR021,Gyuis-1M,200,1,1945,ロシア,30,3,15,1,6,20.8,103.0
SMLR022,Gyuis-1B,300,2,1945,ロシア,45,4,22,2,9,35.9,107.0
SMLR023,XAF,1000,5,1938,USA,150,15,75,8,30,50.0,100.0
SMLR024,CXZ,1000,5,1938,USA,150,15,75,8,30,50.0,100.0
SMLR025,CXAM,1500,7,1940,USA,225,23,113,12,45,116.0,105.0
SMLR026,SC,800,4,1941,USA,120,12,60,6,24,60.0,102.0
SMLR027,SR,500,2,1941,USA,75,7,37,3,15,40.0,98.0
SMLR028,SG,300,1,1941,USA,45,4,22,2,9,29.07,108.45
SMLR029,SF-1,400,2,1942,USA,60,6,30,3,12,29.63,111.76
SMLR030,SL,500,2,1942,USA,75,7,37,3,15,38.89,113.98
SMLR031,SO-13,600,3,1943,USA,90,9,45,4,18,47.225,111.38
SMLR032,OPS-9,300,1,1966,JPN,45,4,22,2,9,60.0,103.0
SMLR033,OPS-9B,250,1,1967,JPN,37,3,18,1,7,60.0,103.0
SMLR034,OPS-9C,200,1,1968,JPN,30,3,15,1,6,60.0,103.0
SMLR035,OPS-4,350,1,1959,JPN,53,5,26,3,11,50.0,105.0
SMLR036,三号電波探信儀,500,2,1940,JPN,75,7,37,3,15,100.0,90.0
SMLR037,一号一型電波探信儀,8700,12,1941,JPN,1305,130,652,70,261,70.0,100.0
SMLR038,一号一型改一電波探信儀,8700,12,1942,JPN,1305,130,652,70,261,130.0,106.0
SMLR039,一号二型電波探信儀,6000,10,1942,JPN,900,90,450,48,180,75.0,97.0
SMLR040,CXAM-1,1500,7,1940,USA,225,23,113,12,45,109.0,105.0
SMLR041,OPS-18,300,1,1976,JPN,45,4,22,2,9,50.0,111.0
SMLR042,OPS-18-1,300,1,1977,JPN,45,4,22,2,9,50.0,111.0
SMLR043,OPS-18-3,300,1,1978,JPN,45,4,22,2,9,50.0,111.0
SMLR044,OPS-3,300,1,1958,JPN,45,4,22,2,9,50.0,105.0
SMLR045,OPS-5,300,1,1959,JPN,45,4,22,2,9,50.0,105.0
SMLR046,OPS-16,300,1,1960,JPN,45,4,22,2,9,50.0,105.0
SMLR047,OPS-16D,300,1,1965,JPN,45,4,22,2,9,50.0,105.0
SMLR048,OPS-17,300,1,1968,JPN,45,4,22,2,9,50.0,105.0
SMLR049,FR-10 / FR-12,50,1,2022,JPN,7,1,3,0,1,177.8,99.0
SMLR050,DRS4W,6,1,2014,JPN,1,0,0,0,0,44.4,96.0
SMLR051,DRS X-Class,7,1,2016,JPN,1,0,0,0,0,177.8,99.0
SMLR052,FR-8005,50,1,2021,JPN,7,1,3,0,1,133.3,98.0
SMLR053,ARPAレーダー (初代),100,2,1985,JPN,15,1,7,1,3,50.0,100.0
SMLR054,FR-151,80,1,1959,JPN,12,1,6,1,2,74.1,103.0
SMLR055,FAR-14x6,50,1,2000,JPN,7,1,3,0,1,177.8,101.0
SMLR056,FAR-14x7,50,1,2005,JPN,7,1,3,0,1,177.8,102.0
SMLR057,漁場監視レーダー,150,2,1987,JPN,22,2,11,1,4,100.0,100.0
SMLR058,AN/SPQ-9A,500,2,1970,USA,75,7,37,3,15,37.0,101.0
SMLR059,AN/SPQ-9B,500,2,2002,USA,75,7,37,3,15,74.0,104.0
SMLR060,AN/SPS-55,500,2,1971,USA,75,7,37,3,15,92.6,111.0
SMLR061,AN/SPS-67(V)1,1000,5,1980,USA,150,15,75,8,30,104.0,124.0
SMLR062,AN/SPS-67(V)2,1000,5,1985,USA,150,15,75,8,30,104.0,124.0
SMLR063,AN/SPS-67(V)3,1000,5,1990,USA,150,15,75,8,30,104.0,124.0
SMLR064,AN/SPS-67(V)4,1000,5,1995,USA,150,15,75,8,30,104.0,124.0
SMLR065,AN/SPS-67(V)5,1000,5,2000,USA,150,15,75,8,30,104.0,124.0
SMLR066,Type 79X,500,2,1936,ENG,75,7,37,3,15,31.0,92.0
SMLR067,Type 79Y,500,2,1938,ENG,75,7,37,3,15,98.0,102.0
SMLR068,Type 79Z,500,2,1939,ENG,75,7,37,3,15,98.0,118.0
SMLR069,Type 79B,500,2,1940,ENG,75,7,37,3,15,170.0,118.0
SMLR070,Type 271,300,1,1941,ENG,45,4,22,2,9,20.4,107.0
SMLR071,Type 271X,300,1,1941,ENG,45,4,22,2,9,31.0,107.0
SMLR072,Type 271 Mark II,300,1,1942,ENG,45,4,22,2,9,20.4,107.0
SMLR073,Type 271Q,300,1,1943,ENG,45,4,22,2,9,20.4,118.0
SMLR074,ASV Mark I/Mark II,100,1,1940,ENG,15,1,7,1,3,92.6,108.0
SMLR075,ASV Mark III/XI,100,1,1943,ENG,15,1,7,1,3,18.52,117.0
SMLR076,Type 86,400,2,1942,ENG,60,6,30,3,12,37.0,120.0
SMLR077,Type 267,300,1,1943,ENG,45,4,22,2,9,185.2,120.0
SMLR078,Type 268,200,1,1943,ENG,30,3,15,2,6,20.0,116.0
SMLR079,Type 286M,400,2,1940,ENG,60,6,30,3,12,37.0,110.0
SMLR080,Type 290,400,2,1942,ENG,60,6,30,3,12,37.0,120.0
SMLR081,Type 291M,500,2,1942,ENG,75,7,37,3,15,64.82,120.0
