ID,名前,重量,人員,開発年,開発国,必要資源_鉄,必要資源_クロム,必要資源_アルミ,必要資源_タングステン,必要資源_ゴム,explosive_weight_kg,max_range_m,speed_kts,diameter_cm
SMTP001,45 cm L5b,565,0,1903,AHU,0,0,0,0,0,59.0,3000,30.0,45.0
SMTP002,21 inch Mark V*,1736,0,1917,ENG,0,0,0,0,0,0.0,12340,25.0,53.3
SMTP003,21 inch Mark VII,1862,0,1925,ENG,0,0,0,0,0,336.0,5200,35.0,53.3
SMTP004,53 cm L6.3,1336,0,1909,AHU,0,0,0,0,0,180.0,10000,29.0,53.0
SMTP005,55 cm L3,910,0,1960,FRA,0,0,0,0,0,200.0,5000,25.0,55.0
SMTP006,45 cm L5f,654,0,1909,AHU,0,0,0,0,0,110.0,10000,20.5,45.0
SMTP007,18 inch Mark VII*,0,0,1907,ENG,0,0,0,0,0,145.0,6400,29.0,45.0
SMTP008,32.4 cm NTL-90,250,0,1992,FRA,0,0,0,0,0,50.0,9000,53.0,32.4
SMTP009,55 cm E14,1650,0,1955,FRA,0,0,0,0,0,200.0,5000,25.5,55.0
SMTP010,55 cm E15,1650,0,1955,FRA,0,0,0,0,0,300.0,12000,25.0,55.0
SMTP011,18 inch Whitehead,383,0,1888,ENG,0,0,0,0,0,53.5,730,26.5,45.0
SMTP012,21 inch Mark IV*,1454,0,1912,ENG,0,0,0,0,0,234.0,8700,35.0,53.3
SMTP013,45 cm L5g,654,0,1909,AHU,0,0,0,0,0,110.0,10000,20.5,45.0
SMTP014,53.3 cm L4,525,0,1964,FRA,0,0,0,0,0,150.0,5000,30.0,53.3
SMTP015,53 cm L7.18,1590,0,1914,AHU,0,0,0,0,0,180.0,10000,36.0,53.0
SMTP016,21 inch Mark V,1736,0,1917,ENG,0,0,0,0,0,0.0,12340,25.0,53.3
SMTP017,21 inch Mark IV*,1454,0,1912,ENG,0,0,0,0,0,234.0,8700,35.0,53.3
SMTP018,45 cm L5c,644,0,1905,AHU,0,0,0,0,0,95.0,6000,19.5,45.0
SMTP019,55 cm 23D,2068,0,1923,FRA,0,0,0,0,0,310.0,13000,35.0,55.0
SMTP020,18 inch Mark V,614,0,1899,ENG,0,0,0,0,0,134.0,0,0.0,45.0
SMTP021,55 cm K2,1104,0,1956,FRA,0,0,0,0,0,280.0,900,50.0,55.0
SMTP022,45 cm L6,642,0,1897,AHU,0,0,0,0,0,100.0,2000,23.0,45.0
SMTP023,24.5 inch Mark I,2585,0,1923,ENG,0,0,0,0,0,337.0,18300,30.0,62.2
SMTP024,21 inch Mark IV,1454,0,1912,ENG,0,0,0,0,0,234.0,12350,25.0,53.3
SMTP025,45 cm M12D,1012,0,1912,FRA,0,0,0,0,0,145.0,8000,28.0,45.0
SMTP026,18 inch Mark XI,680,0,1934,ENG,0,0,0,0,0,211.0,3660,24.0,45.0
SMTP027,21 inch Mark I Short,953,0,1908,ENG,0,0,0,0,0,102.0,6850,30.0,53.3
SMTP028,45 cm M18,0,0,1918,FRA,0,0,0,0,0,0.0,3000,34.0,45.0
SMTP029,21 inch Mark II***,0,0,1914,ENG,0,0,0,0,0,234.0,9830,31.0,53.3
SMTP030,21 inch Mark VII,1862,0,1925,ENG,0,0,0,0,0,336.0,5200,35.0,53.3
